observed_dimension_pK,average_XK1_sample_equal_number,average_XK1_sample_distance,XK1_posterior_mean_distance
8,0.303,0.326975,0.32697499999999996
9,0.303,0.3209874999999998,0.32098750000000004
10,0.409,0.30333749999999987,0.3033375
11,0.823,0.26923749999999996,0.26923749999999996
12,0.994,0.2534125000000001,0.2534125
13,0.971,0.25158749999999996,0.25158749999999996
14,1.012,0.24602500000000016,0.24602500000000002
15,1.059,0.24791249999999948,0.24791249999999998
16,1.218,0.23956250000000012,0.23956249999999998
17,1.125,0.2428124999999995,0.24281250000000004
18,1.814,0.20848749999999971,0.20848750000000002
19,1.861,0.2069750000000001,0.206975
20,1.938,0.204925,0.20492499999999997
21,2.162,0.1917125,0.1917125
22,2.609,0.1660874999999998,0.1660875
23,3.01,0.1485000000000001,0.1485
24,3.114,0.13695000000000002,0.13695
25,3.364,0.12820000000000004,0.1282
26,3.931,0.11922499999999989,0.119225
27,4.028,0.10590000000000005,0.1059
28,4.948,0.08253750000000011,0.0825375
29,5.593,0.0682875,0.0682875
30,6.025,0.059574999999999975,0.059575
31,6.63,0.04900000000000004,0.049
32,6.56,0.0499625,0.0499625
33,7.285,0.038100000000000016,0.0381
34,7.877,0.029162499999999897,0.0291625
35,8.059,0.02629999999999989,0.0263
36,8.354,0.02163749999999986,0.021637499999999997
37,7.817,0.029112499999999916,0.029112499999999996
38,8.021,0.026112499999999893,0.026112499999999993
39,8.306,0.022399999999999858,0.022400000000000003
40,8.254,0.023174999999999838,0.023175
41,8.527,0.019424999999999908,0.019424999999999998
42,8.66,0.01721249999999991,0.017212500000000002
43,9.084,0.01162499999999997,0.011625
44,9.472,0.006912500000000042,0.0069125
45,9.558,0.0057750000000000344,0.005775000000000001
46,9.705,0.003762500000000014,0.0037625000000000007
47,9.788,0.0026875000000000037,0.0026875000000000002
48,9.824,0.002212499999999998,0.0022125000000000005
49,9.781,0.002737500000000004,0.0027374999999999995
50,9.8,0.0025000000000000005,0.0024999999999999996
51,9.871,0.0016124999999999965,0.0016125000000000007
52,9.566,0.005437500000000037,0.0054375
53,9.544,0.005700000000000043,0.0057
54,9.48,0.006512500000000056,0.0065125
55,9.272,0.00910000000000002,0.0091
56,9.412,0.007350000000000066,0.00735
57,9.927,0.0009124999999999987,0.0009125000000000003
58,9.943,0.0007124999999999995,0.0007125000000000002
59,9.961,0.0004875000000000003,0.00048750000000000025
60,9.952,0.0005999999999999998,0.0006000000000000002
61,9.947,0.0006624999999999997,0.0006625000000000003
62,9.971,0.00036250000000000014,0.0003625000000000002
63,9.951,0.0006124999999999999,0.0006125000000000003
64,9.971,0.00036250000000000014,0.00036250000000000014
65,9.944,0.0006999999999999996,0.0007000000000000004
66,9.515,0.006062500000000051,0.0060625
67,9.973,0.0003375000000000001,0.0003375000000000003
68,9.992,9.999999999999999e-05,0.00010000000000000009
