,posterior mean difference,posterior standard deviation difference,posterior Wasserstein-1 distance,ratio of posterior mean difference over posterior standard deviation,ratio of posterior standard deviation difference over posterior standard deviation,ratio of posterior Wasserstein-1 distance over posterior standard deviation
larger_mu_c,0.002872834,0.002043121,0.003398491,0.315574369,0.224432241,0.373316524
smaller_mu_c,0.002944485,0.002112797,0.003498552,0.323444994,0.232086,0.384308076
larger_sigma_c,0.003755229,0.002058468,0.004298111,0.412503365,0.226118106,0.472137742
smaller_sigma_c,0.003876778,0.002043602,0.00422858,0.425855338,0.224485076,0.4644999
larger_mu_gamma,0.003522904,0.002104168,0.004074514,0.386983042,0.231138081,0.447576115
smaller_mu_gamma,0.003217298,0.002087173,0.003862808,0.353412898,0.229271287,0.4243207
larger_sigma_gamma,0.003592084,0.002304634,0.0041854,0.394582267,0.253158828,0.459756775
smaller_sigma_gamma,0.003065857,0.002005225,0.003533398,0.336777436,0.220269404,0.388135827
larger_mu_delta,0.003416495,0.002216842,0.004027448,0.375294236,0.243515123,0.44240605
smaller_mu_delta,0.003330624,0.002263326,0.003879261,0.365861534,0.248621285,0.426128039
larger_sigma_delta,0.003078704,0.002097327,0.003515553,0.338188675,0.230386675,0.386175574
smaller_sigma_delta,0.003173499,0.002074651,0.003813497,0.34860167,0.227895735,0.41890404
larger_alpha,0.003447593,0.002171687,0.003953567,0.378710306,0.238554853,0.434290361
smaller_alpha,0.003556116,0.002287544,0.004169225,0.39063127,0.251281509,0.457979907
